M1,M2,M3,M4,M5,M6,M7,M8,M9
0.0,-0.91902137,0.31975588,1.2604698,-1.5299587,-1.081959,-1.3305516,0.0,-0.5512095
0.0,-1.4324594,0.47453982,1.0524042,1.1487119,-1.4909247,-1.1353818,0.0,-2.1569648
0.0,-1.0223775,-0.9484074,1.2020917,-1.1216726,-1.1831106,-0.97520334,0.0,-1.6740265
0.0,0.16378933,0.788466,-0.86449754,-1.5783647,0.5797164,-1.6769887,0.0,-1.3295387
0.0,-0.48394433,-1.196919,-0.8475301,0.8250019,-1.4382479,-1.2407686,0.0,-1.8021265
0.0,-1.3868321,0.71175444,1.3113561,-1.4508444,-0.9813018,-1.2543308,0.0,-0.7118327
0.0,-1.1154493,0.6066241,0.796188,0.9913203,1.3638293,1.311576,0.0,1.814933
0.0,-0.5853904,-1.430836,-0.50490165,0.51383805,-1.6857922,0.61985207,0.0,-1.4296595
0.0,-1.1891248,0.59970295,0.80964875,1.0890557,1.4255611,0.69858557,0.0,2.0568073
0.0,-1.5620124,0.5535799,-0.9436254,1.1449243,-1.6998641,0.6845954,0.0,-1.8784384
0.0,-0.76483184,-1.2138566,-0.2609465,-0.7896857,-1.4450352,-1.2381461,0.0,-0.5665403
0.0,-1.5458122,0.5081925,-0.9888007,1.2067597,-1.6798244,-0.23898079,0.0,-1.9044149
0.0,-1.1490884,-0.8399779,-0.8566222,0.90888137,-1.5871241,-0.26862574,0.0,-1.854733
0.0,-0.13726418,-1.2214417,-0.9935445,-0.66735137,-1.9596722,0.4145465,0.0,0.4672394
0.0,-1.4667966,0.0011929497,1.1958672,-1.1547755,-1.6866813,0.34333158,0.0,-1.7741112
0.0,-0.5532639,-1.34164,-0.8012292,0.7829811,-1.6399174,0.28495967,0.0,-1.9750316
0.0,-1.0858212,-1.0549314,-0.8847244,1.1291832,0.5503769,-1.5259273,0.0,-1.7910894
0.0,1.5312926,0.80336547,1.0882251,1.1498992,1.3065423,-1.5633388,0.0,-1.7807736
